epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7778,0.83993,1.27671,1.41883,0.99034,0.9836,0.94466,0.97152,0.79793,0.96496,0.92142,0.95211,0.75436,0.75597,1.14476,0.89528,0.87316,0.000661728,0.000661728,0.000661728
2,30.651,0.77299,1.08541,0.6067,0.95044,0.97825,0.95109,0.97458,0.79447,0.97049,0.93128,0.94265,0.73339,0.73621,0.99563,0.56959,0.9245,0.00131524,0.00131524,0.00131524
3,45.2178,0.75729,1.0434,0.5535,0.94775,0.97167,0.96268,0.96857,0.77134,0.96484,0.93436,0.9357,0.68928,0.76346,0.92912,0.59567,0.93882,0.00195556,0.00195556,0.00195556
4,59.8129,0.73054,1.04343,0.51252,0.94051,0.97107,0.95054,0.97616,0.81285,0.97339,0.94142,0.96537,0.78747,0.70424,0.81553,0.48537,0.94319,0.0019406,0.0019406,0.0019406
5,74.5224,0.71958,1.01489,0.4871,0.93894,0.9695,0.96139,0.97671,0.81113,0.96974,0.9485,0.96853,0.77533,0.66514,0.96179,0.47825,0.92982,0.0019208,0.0019208,0.0019208
6,88.9431,0.7105,0.9958,0.46416,0.93177,0.96652,0.9659,0.98329,0.83436,0.97005,0.94466,0.96771,0.77505,0.61412,0.81579,0.38641,0.91534,0.001901,0.001901,0.001901
7,103.596,0.69438,0.98286,0.44842,0.92849,0.96409,0.93179,0.97225,0.80361,0.96247,0.92424,0.95301,0.76139,0.6832,0.85846,0.42551,0.94736,0.0018812,0.0018812,0.0018812
8,117.767,0.68425,0.95352,0.43555,0.92707,0.96573,0.97909,0.98522,0.82147,0.96536,0.9601,0.9709,0.77517,0.62843,0.82266,0.38721,0.91716,0.0018614,0.0018614,0.0018614
9,132.517,0.66706,0.95938,0.42319,0.92192,0.96536,0.92921,0.97473,0.81133,0.96101,0.92021,0.96282,0.76335,0.63459,0.80188,0.42401,0.92966,0.0018416,0.0018416,0.0018416
10,147.006,0.67069,0.93849,0.42175,0.92439,0.97129,0.95753,0.97726,0.83215,0.97213,0.94279,0.96497,0.7872,0.6211,0.82583,0.38602,0.92534,0.0018218,0.0018218,0.0018218
11,161.159,0.67222,0.98242,0.41832,0.9239,0.97945,0.97426,0.98331,0.83633,0.9772,0.93788,0.96806,0.7665,0.61695,0.79937,0.36407,0.92356,0.001802,0.001802,0.001802
12,175.657,0.65742,0.94119,0.40903,0.92205,0.98184,0.97412,0.98443,0.84463,0.97055,0.95624,0.96892,0.7881,0.6262,0.77604,0.35405,0.92024,0.0017822,0.0017822,0.0017822
13,189.601,0.65597,0.94377,0.40687,0.92053,0.98778,0.95753,0.98722,0.84709,0.97689,0.94208,0.96438,0.76842,0.58451,0.77737,0.35771,0.91388,0.0017624,0.0017624,0.0017624
14,203.521,0.64313,0.92794,0.39404,0.9153,0.9728,0.97555,0.9865,0.85584,0.98664,0.9504,0.97456,0.79648,0.57831,0.75146,0.32408,0.91075,0.0017426,0.0017426,0.0017426
15,217.661,0.65057,0.9181,0.39835,0.91809,0.97259,0.97169,0.98551,0.84734,0.96639,0.96211,0.97649,0.78243,0.58748,0.75285,0.34658,0.91448,0.0017228,0.0017228,0.0017228
